date,open,high,low,close,volume,Ticker
2023-10-03,2418.0,2424.9,2372.0,2387.25,2019899,ADANIENT
2023-10-04,2402.2,2502.75,2392.25,2464.95,2857377,ADANIENT
2023-10-05,2477.95,2486.5,2446.4,2466.35,1132455,ADANIENT
2023-10-06,2466.35,2514.95,2466.05,2478.1,1510035,ADANIENT
2023-10-09,2440.0,2459.7,2411.3,2442.6,1408224,ADANIENT
2023-10-10,2443.0,2517.95,2443.0,2498.3,1771910,ADANIENT
2023-10-11,2533.9,2538.0,2482.5,2488.6,1627836,ADANIENT
2023-10-12,2499.9,2521.75,2490.65,2506.35,1804818,ADANIENT
2023-10-13,2488.9,2495.0,2422.35,2454.55,2278682,ADANIENT
2023-10-16,2454.55,2464.7,2421.85,2429.35,803856,ADANIENT
2023-10-17,2459.95,2462.0,2423.5,2428.4,707543,ADANIENT
2023-10-18,2440.0,2441.75,2401.05,2406.35,776977,ADANIENT
2023-10-19,2400.0,2414.7,2382.55,2402.2,1168822,ADANIENT
2023-10-20,2398.05,2443.95,2382.05,2393.75,1240350,ADANIENT
2023-10-23,2397.8,2412.35,2301.8,2308.65,1483549,ADANIENT
2023-10-25,2320.0,2348.05,2235.3,2257.0,1540819,ADANIENT
2023-10-26,2249.0,2249.0,2167.05,2203.2,2226073,ADANIENT
2023-10-27,2222.0,2275.0,2212.0,2261.7,1244293,ADANIENT
2023-10-30,2260.05,2305.0,2250.0,2299.1,996448,ADANIENT
2023-10-31,2320.0,2320.0,2276.0,2294.65,1155280,ADANIENT
2023-11-01,2299.0,2312.25,2207.0,2217.3,1666579,ADANIENT
2023-11-02,2247.0,2297.95,2204.2,2215.3,2340997,ADANIENT
2023-11-03,2215.3,2279.0,2215.0,2229.85,1853300,ADANIENT
2023-11-06,2253.95,2260.0,2233.0,2246.0,770061,ADANIENT
2023-11-07,2257.0,2260.0,2226.65,2233.35,641554,ADANIENT
2023-11-08,2245.3,2298.0,2235.0,2259.95,1169180,ADANIENT
2023-11-09,2269.0,2272.6,2210.1,2214.65,1267890,ADANIENT
2023-11-10,2220.25,2237.0,2198.5,2205.1,1072597,ADANIENT
2023-11-12,2219.7,2226.0,2205.1,2211.35,148320,ADANIENT
2023-11-13,2215.5,2241.9,2195.55,2213.65,853633,ADANIENT
2023-11-15,2240.0,2250.0,2220.5,2225.4,696475,ADANIENT
2023-11-16,2226.0,2232.8,2196.1,2205.9,1307584,ADANIENT
2023-11-17,2205.9,2237.95,2201.0,2208.8,916518,ADANIENT
2023-11-20,2211.0,2218.5,2142.0,2149.85,1577213,ADANIENT
2023-11-21,2160.0,2232.55,2158.35,2196.65,1839502,ADANIENT
2023-11-22,2205.15,2225.0,2153.5,2172.65,1247205,ADANIENT
2023-11-23,2190.0,2190.0,2160.6,2175.25,729114,ADANIENT
2023-11-24,2179.0,2251.95,2160.9,2225.45,1946259,ADANIENT
2023-11-28,2301.0,2512.4,2275.0,2423.5,11972275,ADANIENT
2023-11-29,2468.7,2477.65,2390.0,2396.6,4561574,ADANIENT
2023-11-30,2400.05,2409.0,2343.05,2358.55,2983879,ADANIENT
2023-12-01,2370.0,2403.35,2354.1,2362.7,1792983,ADANIENT
2023-12-04,2549.95,2595.0,2487.45,2531.2,5681516,ADANIENT
2023-12-05,2531.2,2999.9,2531.2,2959.35,22879079,ADANIENT
2023-12-06,3080.0,3154.55,2844.85,2883.95,19355777,ADANIENT
2023-12-07,2900.0,2945.9,2853.05,2887.15,6325887,ADANIENT
2023-12-08,2902.7,2927.0,2760.0,2822.15,6959428,ADANIENT
2023-12-11,2837.05,2919.9,2811.05,2855.8,5064123,ADANIENT
2023-12-12,2869.1,2895.95,2840.55,2857.65,2017772,ADANIENT
2023-12-13,2860.0,2899.1,2805.0,2875.05,2805832,ADANIENT
2023-12-14,2900.95,2932.95,2887.0,2894.05,3224681,ADANIENT
2023-12-15,2912.05,3000.0,2893.9,2991.8,4921484,ADANIENT
2023-12-18,2993.95,3027.75,2961.1,2980.6,2315922,ADANIENT
2023-12-19,2988.8,2994.35,2915.0,2941.25,1741493,ADANIENT
2023-12-20,2946.0,2968.0,2766.2,2783.85,3417739,ADANIENT
2023-12-21,2750.0,2821.95,2725.0,2799.75,2678577,ADANIENT
2023-12-22,2815.95,2847.6,2791.4,2808.35,1513956,ADANIENT
2023-12-26,2817.0,2893.75,2800.1,2865.45,2048484,ADANIENT
2023-12-27,2880.7,2894.8,2833.6,2843.35,1698325,ADANIENT
2023-12-28,2855.0,2867.35,2800.1,2809.9,4102912,ADANIENT
2023-12-29,2823.9,2863.3,2802.85,2848.95,1507086,ADANIENT
2024-01-01,2852.3,2947.0,2842.05,2917.2,2898619,ADANIENT
2024-01-02,2922.0,2948.2,2841.0,2932.4,2671368,ADANIENT
2024-01-03,3047.0,3199.0,2955.6,3003.0,19725411,ADANIENT
2024-01-04,3039.4,3044.45,2990.0,2998.3,2975620,ADANIENT
2024-01-05,3009.95,3066.9,2981.1,3006.6,3219949,ADANIENT
2024-01-08,3020.0,3027.0,2952.95,2963.5,1849061,ADANIENT
2024-01-09,2990.7,3068.8,2980.0,3014.6,2885706,ADANIENT
2024-01-10,3024.0,3112.0,3020.05,3098.2,3590297,ADANIENT
2024-01-11,3120.0,3129.0,3065.0,3080.9,2008103,ADANIENT
2024-01-12,3096.35,3125.0,3068.2,3104.1,1795933,ADANIENT
2024-01-15,3127.0,3130.0,3067.45,3089.5,1407007,ADANIENT
2024-01-16,3095.0,3104.5,3035.0,3056.5,2515564,ADANIENT
2024-01-17,3033.0,3045.0,2946.3,2971.05,2897218,ADANIENT
2024-01-18,2975.55,2985.0,2885.1,2918.9,2552342,ADANIENT
2024-01-19,2945.35,2949.45,2903.05,2915.65,2014096,ADANIENT
2024-01-20,2930.0,3015.85,2890.5,2987.9,1878793,ADANIENT
2024-01-23,3014.95,3014.95,2885.5,2896.55,1827002,ADANIENT
2024-01-24,2901.0,2929.1,2871.25,2903.45,5807940,ADANIENT
2024-01-25,2903.45,2926.35,2804.4,2893.6,2601969,ADANIENT
2024-01-29,2929.0,3092.7,2923.05,3064.65,4402976,ADANIENT
2024-01-30,3081.0,3129.9,3020.9,3091.1,3115506,ADANIENT
2024-01-31,3092.75,3151.7,3072.4,3142.0,2671051,ADANIENT
2024-02-01,3156.9,3236.95,3083.05,3153.5,4686595,ADANIENT
2024-02-02,3184.95,3208.5,3140.0,3157.45,2708695,ADANIENT
2024-02-05,3170.0,3229.4,3151.45,3173.45,2191195,ADANIENT
2024-02-06,3183.9,3228.2,3160.0,3203.75,2078891,ADANIENT
2024-02-07,3220.05,3277.95,3210.0,3229.85,2095911,ADANIENT
2024-02-08,3245.6,3245.6,3146.1,3168.6,1679004,ADANIENT
2024-02-09,3184.45,3224.95,3121.2,3215.2,1572789,ADANIENT
2024-02-12,3229.0,3241.95,3160.0,3169.75,1083138,ADANIENT
2024-02-13,3180.0,3194.0,3092.05,3178.45,1225207,ADANIENT
2024-02-14,3184.0,3255.25,3169.85,3207.2,1741264,ADANIENT
2024-02-15,3219.85,3252.75,3184.05,3193.8,2035204,ADANIENT
2024-02-16,3214.0,3252.3,3192.65,3223.6,2193673,ADANIENT
2024-02-19,3240.0,3308.6,3235.8,3258.8,1779444,ADANIENT
2024-02-20,3267.0,3269.8,3210.15,3228.6,1467630,ADANIENT
2024-02-21,3238.0,3300.0,3205.0,3223.2,1657021,ADANIENT
2024-02-22,3239.0,3274.0,3210.5,3263.05,1138722,ADANIENT
2024-02-23,3263.05,3319.95,3225.1,3273.3,1975035,ADANIENT
2024-02-26,3272.0,3344.0,3263.0,3327.75,1695378,ADANIENT
2024-02-27,3339.0,3340.0,3273.0,3302.3,1125570,ADANIENT
2024-02-28,3309.2,3318.8,3207.5,3219.0,1358879,ADANIENT
2024-02-29,3220.05,3304.75,3205.35,3285.4,1352988,ADANIENT
2024-03-01,3309.85,3346.0,3281.8,3318.75,1161067,ADANIENT
2024-03-02,3332.0,3348.7,3321.5,3333.25,119511,ADANIENT
2024-03-04,3335.0,3350.0,3310.05,3317.15,1061244,ADANIENT
2024-03-05,3325.3,3334.0,3295.05,3310.2,1190416,ADANIENT
2024-03-06,3323.0,3323.0,3183.15,3233.95,1935203,ADANIENT
2024-03-07,3240.0,3262.0,3220.0,3226.55,856328,ADANIENT
2024-03-11,3241.2,3259.0,3200.0,3207.35,738851,ADANIENT
2024-03-12,3207.35,3222.7,3111.0,3122.5,1199487,ADANIENT
2024-03-13,3125.0,3138.05,2850.15,2906.2,3407040,ADANIENT
2024-03-14,2927.45,3101.2,2880.0,3087.45,3759100,ADANIENT
2024-03-15,3111.0,3143.4,3061.25,3132.2,2199094,ADANIENT
2024-03-18,3050.1,3124.0,2976.05,3111.75,3042515,ADANIENT
2024-03-19,3126.0,3164.8,3041.85,3052.7,1460452,ADANIENT
2024-03-20,3075.0,3083.2,3021.1,3051.45,966481,ADANIENT
2024-03-21,3089.55,3107.1,3059.6,3066.5,1175751,ADANIENT
2024-03-22,3066.55,3128.95,3048.05,3107.7,951557,ADANIENT
2024-03-26,3100.5,3171.95,3089.1,3109.95,937103,ADANIENT
2024-03-27,3115.0,3138.45,3106.25,3122.1,900231,ADANIENT
2024-03-28,3134.0,3237.0,3096.75,3197.1,2327053,ADANIENT
2024-04-01,3230.2,3291.8,3207.85,3252.1,1292646,ADANIENT
2024-04-02,3258.95,3285.0,3240.0,3268.75,868829,ADANIENT
2024-04-03,3250.0,3260.15,3222.0,3233.45,1153109,ADANIENT
2024-04-04,3250.0,3273.0,3201.7,3210.8,1403826,ADANIENT
2024-04-05,3211.1,3234.0,3178.95,3224.8,755607,ADANIENT
2024-04-08,3240.95,3243.5,3197.2,3224.55,577440,ADANIENT
2024-04-09,3240.7,3251.0,3185.0,3198.45,833679,ADANIENT
2024-04-10,3200.0,3254.6,3192.5,3242.0,1441138,ADANIENT
2024-04-12,3210.0,3247.5,3205.3,3209.9,705173,ADANIENT
2024-04-15,3150.0,3180.3,3103.2,3147.45,1035378,ADANIENT
2024-04-16,3101.0,3149.2,3100.0,3106.4,1134184,ADANIENT
2024-04-18,3125.15,3145.0,3008.3,3019.3,1703646,ADANIENT
2024-04-19,3000.0,3057.05,2962.5,3026.95,1727317,ADANIENT
2024-04-22,3053.0,3077.5,3025.0,3063.35,993929,ADANIENT
2024-04-23,3059.0,3091.0,3043.1,3065.1,1654272,ADANIENT
2024-04-24,3071.95,3087.85,3040.0,3043.55,605917,ADANIENT
2024-04-25,3050.0,3120.9,3025.65,3115.25,1515529,ADANIENT
2024-04-26,3119.9,3129.9,3066.05,3080.4,662764,ADANIENT
2024-04-29,3110.0,3110.5,3051.5,3081.2,648544,ADANIENT
2024-04-30,3094.0,3108.45,3045.0,3054.7,804552,ADANIENT
2024-05-02,3071.95,3119.85,3015.05,3039.6,2219085,ADANIENT
2024-05-03,3030.0,3045.0,2975.1,2993.25,1472168,ADANIENT
2024-05-06,2993.25,3000.2,2850.0,2874.65,2377944,ADANIENT
2024-05-07,2889.95,2905.35,2822.0,2835.95,1262311,ADANIENT
2024-05-08,2850.0,2890.9,2820.0,2860.55,951411,ADANIENT
2024-05-09,2864.8,2883.65,2756.0,2766.65,1485510,ADANIENT
