ticker,price_change
TATASTEEL,66.54999542236328
ITC,119.39999389648438
ONGC,160.85000610351562
POWERGRID,169.20001220703125
WIPRO,195.25
BPCL,202.4700164794922
BEL,206.64999389648438
NTPC,211.55001831054688
HDFCLIFE,224.3499755859375
COALINDIA,252.60003662109375
